Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,Phone 1 - Type,Phone 1 - Value 
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999999
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999998
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999997
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999996
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999995
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999994
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999993
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999992
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999991
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999990
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999989
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999988
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999987
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999986
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999985
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999984
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999983
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999982
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999981
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999980
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999979
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999978
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999977
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999976
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999975
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999974
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999973
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999972
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999971
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999970
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999969
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999968
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999967
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999966
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999965
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999964
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999963
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999962
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999961
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999960
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999959
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999958
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999957
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999956
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999955
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999954
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999953
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999952
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999951
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999950
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999949
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999948
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999947
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999946
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999945
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999944
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999943
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999942
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999941
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999940
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999939
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999938
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999937
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999936
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999935
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999934
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999933
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999932
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999931
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999930
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999929
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999928
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999927
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999926
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999925
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999924
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999923
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999922
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999921
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999920
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999919
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999918
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999917
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999916
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999915
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999914
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999913
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999912
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999911
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999910
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999909
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999908
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999907
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999906
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999905
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999904
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999903
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999902
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999901
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999900
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999899
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999898
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999897
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999896
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999895
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999894
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169999893
