Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,Phone 1 - Type,Phone 1 - Value 
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899999
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899998
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899997
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899996
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899995
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899994
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899993
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899992
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899991
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899990
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899989
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899988
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899987
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899986
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899985
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899984
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899983
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899982
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899981
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899980
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899979
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899978
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899977
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899976
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899975
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899974
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899973
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899972
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899971
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899970
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899969
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899968
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899967
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899966
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899965
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899964
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899963
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899962
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899961
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899960
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899959
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899958
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899957
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899956
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899955
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899954
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899953
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899952
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899951
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899950
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899949
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899948
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899947
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899946
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899945
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899944
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899943
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899942
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899941
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169899940
