Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,Phone 1 - Type,Phone 1 - Value 
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799999
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799998
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799997
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799996
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799995
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799994
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799993
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799992
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799991
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799990
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799989
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799988
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799987
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799986
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799985
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799984
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799983
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799982
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799981
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799980
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799979
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799978
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799977
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799976
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799975
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799974
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799973
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799972
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799971
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799970
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799969
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799968
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799967
,,,,,,,,,,,,,,,,,,,,,,,,,, My Contacts,,4169799966
